trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1732828080_H..N21R,126800_H..N21R,H,0,1732828080,1H 2108 RPK/BCR,1732856880,1732856895,33,-1,32
1732828500_FS.S01R,127500_FS.S01R,FS,1,1732828500,1FS 2115 FKN/PPK,1732857121,1732857136,49,-1,48
1732828770_FS.N01R,127950_FS.N01R,FS,0,1732828770,1FS 2119+ PPK/FKN,1732857121,1732857136,49,-1,48
1732829400_FS.S01R,129000_FS.S01R,FS,1,1732829400,1FS 2130 FKN/PPK,1732857136,1732857151,50,-1,49
1732829580_H..N21R,129300_H..N21R,H,0,1732829580,1H 2133 RPK/BCR,1732858367,1732858382,132,-1,131
1732829670_FS.N01R,129450_FS.N01R,FS,0,1732829670,1FS 2134+ PPK/FKN,1732857136,1732857151,50,-1,49
1732830780_H..N21R,131300_H..N21R,H,0,1732830780,1H 2153 RPK/BCR,1732859568,1732859583,212,-1,211
1732831860_H..N21R,133100_H..N21R,H,0,1732831860,1H 2211 RPK/BCR,1732860649,1732860664,284,-1,283
1732832310_F..N07R,133850_F..N07R,F,0,1732832310,1F 2218+ STL/179,1732856674,1732856680,37,0,0
1732832820_D..N05R,134700_D..N05R,D,0,1732832820,1D 2227 STL/205,1732856554,1732856560,21,0,0
1732832940_H..N21R,134900_H..N21R,H,0,1732832940,1H 2229 RPK/BCR,1732861730,1732861745,356,-1,355
1732833000_A..N09R,135000_A..N09R,A,0,1732833000,1A 2230 FAR/207,1732857436,1732857451,70,0,0
1732833150_F..S07R,135250_F..S07R,F,1,1732833150,1F 2232+ 179/STL,1732856965,1732856974,76,0,0
1732833210_D..S07R,135350_D..S07R,D,1,1732833210,1D 2233+ BPK/STL,1732856935,1732856944,72,0,0
1732833240_F..N07R,135400_F..N07R,F,0,1732833240,1F 2234 STL/179,1732857070,1732857079,90,0,0
1732833480_A..N04R,135800_A..N04R,A,0,1732833480,1A 2238 LEF/207,1732856715,1732856730,22,0,0
1732833570_R..S71R,135950_R..S71R,R,1,1732833570,1R 2239+ CTL/95S,1732856654,1732856668,25,0,0
1732833600_2..S01R,136000_2..S01R,2,1,1732833600,02 2240  241/FLA,1732857014,1732857023,83,0,0
